,과목이름,교수님,평점,과제,팀플,학점 비율
0,HTM 컴퓨터프로그래밍,공성곤,5,보통,없음,학점느님
1,창업과기업가정신2,공성곤,4,보통,없음,학점느님
2,전산개론-O,공성곤,2.17,보통,없음,비율 채워줌
3,소프트웨어특강2,공성곤,1,보통,보통,F 폭격기
4,알고리즘및실습,국형준,4.14,보통,없음,비율 채워줌
5,프로그래밍입문-P,국형준,4,보통,없음,비율 채워줌
6,고급프로그래밍입문-C,국형준,4,많음,없음,비율 채워줌
7,자료구조및실습,국형준,3.77,보통,없음,비율 채워줌
8,소프트웨어기초코딩,국형준,2.81,많음,없음,비율 채워줌
9,데이터구조론,국형준,2,보통,없음,비율 채워줌
10,졸업연구및진로2,김영복,4,보통,없음,학점느님
11,컴퓨터네트워크,김영복,3.97,많음,보통,학점느님
12,웹프로그래밍,김영복,2.82,보통,보통,학점느님
13,소프트웨어특강2,김영복,1,보통,보통,비율 채워줌
14,신입생세미나,김용국,3,없음,없음,학점느님
15,HCI개론,김용국,2.22,없음,없음,학점느님
16,디지털시스템,김용국,1.7,보통,보통,매우 깐깐함
17,인공지능,김용국,1,보통,많음,매우 깐깐함
18,확률및통계,김해광,5,보통,없음,비율 채워줌
19,대학생활과진로설계,김해광,5,보통,보통,학점느님
20,확률통계및프로그래밍,김해광,4.77,보통,없음,학점느님
21,멀티미디어,김해광,4.5,보통,없음,비율 채워줌
22,이산수학및프로그래밍,김해광,4.24,보통,없음,학점느님
23,C프로그래밍및실습,나중채,5,많음,없음,비율 채워줌
24,자료구조및실습,나중채,4.63,보통,없음,학점느님
25,알고리즘및실습,나중채,4.06,보통,없음,비율 채워줌
26,졸업연구및진로1,나중채,4,보통,보통,학점느님
27,대학생활과진로설계,노재춘,5,보통,없음,학점느님
28,Unix프로그래밍,노재춘,4.92,보통,보통,학점느님
29,컴파일러,노재춘,4.57,보통,없음,비율 채워줌
30,자료구조및실습,노재춘,4.29,보통,없음,학점느님
31,C프로그래밍및실습,노재춘,3.75,보통,없음,비율 채워줌
32,운영체제,노재춘,3.27,많음,없음,매우 깐깐함
33,디지털시스템,문승빈,3.6,보통,보통,학점느님
34,컴퓨터구조론,문승빈,3.25,보통,없음,학점느님
35,컴퓨터구조,문승빈,2.67,보통,없음,비율 채워줌
36,대학생활과진로설계,문현준,5,없음,없음,학점느님
37,모바일프로그래밍,문현준,4,보통,많음,비율 채워줌
38,Capstone디자인(산학협력프로젝트),문현준,3.5,보통,보통,학점느님
39,컴퓨터구조론,문현준,3,많음,없음,비율 채워줌
40,영상처리,문현준,2.5,없음,없음,비율 채워줌
41,컴퓨터구조,문현준,2.06,보통,없음,비율 채워줌
42,오픈소스SW개론,문현준,1.44,없음,없음,비율 채워줌
43,컴퓨터구조,박기호,4.44,보통,없음,비율 채워줌
44,디지털시스템,박기호,4.24,보통,보통,비율 채워줌
45,컴퓨터구조론,박기호,4.17,보통,없음,비율 채워줌
46,멀티코어프로그래밍,박기호,4,보통,없음,학점느님
47,임베디드시스템,박기호,3,많음,보통,비율 채워줌
48,컴퓨터구조론,박우찬,5,보통,많음,학점느님
49,창업과기업가정신2,박우찬,4.74,보통,없음,학점느님
50,디지털시스템,박우찬,3.78,보통,보통,비율 채워줌
51,컴퓨터구조,박우찬,3.29,보통,보통,비율 채워줌
52,대학생활과진로설계,박태순,5,없음,없음,학점느님
53,C프로그래밍및실습,박태순,4.62,보통,없음,비율 채워줌
54,고급C프로그래밍및실습,박태순,4.56,보통,없음,비율 채워줌
55,운영체제,박태순,3.94,보통,없음,비율 채워줌
56,Unix프로그래밍,박태순,3.6,보통,보통,비율 채워줌
57,네트워크프로그래밍,신동규,4.25,보통,없음,학점느님
58,문제해결및실습:JAVA,신동규,4.17,많음,없음,학점느님
59,대학생활과진로설계,신동규,3,보통,없음,학점느님
60,문제해결및실습:JAVA,신동일,3.8,보통,없음,비율 채워줌
61,데이터베이스,신동일,3.65,보통,보통,학점느님
62,컴퓨터네트워크,양효식,3.42,보통,없음,비율 채워줌
63,확률통계및프로그래밍,양효식,2.6,보통,없음,학점느님
64,전산개론-I,양효식,2.5,보통,없음,비율 채워줌
65,Capstone디자인(산학협력프로젝트),양효식,2.5,많음,많음,매우 깐깐함
66,Capstone디자인(산학협력프로젝트),양효식,1,많음,많음,비율 채워줌
67,소프트웨어특강1,유성준,5,보통,없음,비율 채워줌
68,K-MOOC:파이썬을이용한기계학습개론,유성준,5,없음,없음,비율 채워줌
69,신입생세미나,유성준,5,보통,없음,학점느님
70,소프트웨어특강2,유성준,3.25,많음,없음,학점느님
71,기계학습,유성준,2.83,많음,없음,비율 채워줌
72,신입생세미나1,유영환,5,없음,없음,학점느님
73,선형대수및프로그래밍,유영환,4.9,보통,없음,학점느님
74,무선통신,유영환,4.67,보통,없음,학점느님
75,통신시스템,유영환,4.47,보통,없음,학점느님
76,확률통계및프로그래밍,유영환,3.96,보통,없음,학점느님
77,신호및시스템,유영환,3.82,보통,없음,학점느님
78,신입생세미나,윤은일,5,보통,없음,학점느님
79,데이터베이스,윤은일,4,많음,없음,비율 채워줌
80,XML프로그래밍,윤은일,1,많음,없음,학점느님
81,선형대수,이영렬,5,보통,없음,학점느님
82,선형대수및프로그래밍,이영렬,4.62,보통,없음,학점느님
83,영상처리,이영렬,4.5,보통,없음,비율 채워줌
